,Kit ID,Địa chỉ,Tên,Latitude,Longitude,outdoor
0,1037,"phường Bưởi, quận Tây Hồ",Trung tâm Live & Learn,21.05226,105.8117,True
1,1038,"phường Bách Khoa, quận Hai Bà Trưng",Trường THCS & THPT Tạ Quang Bửu,21.00257,105.84653,True
2,1039,"phường Trung Hòa, quận Cầu Giấy",Trường mầm non KOI,21.00764015,105.80453388,True
3,1040,"phường Phạm Đình Hổ, quận Hai Bà Trưng",Viện Sức khỏe Nghề nghiệp và Môi trường,21.01318005,105.86081255,True
4,1041,"phường Đồng Tâm, quận Hai Bà Trưng",Trường tiểu học Công nghệ giáo dục,20.99603,105.84455,True
5,1043,"phường Vĩnh Phúc, quận Ba Đình",Viện Tư vấn Phát triển Kinh tế Xã hội Nông thôn và Miền núi,21.04169108,105.80900309,True
6,1044,"phường Đức Thắng, quận Bắc Từ Liêm",Trường THCS Đức Thắng,21.082295105950106,105.77339286528215,True
7,1045,"phường Ô Chợ Dừa, quận Đống Đa",Trường mầm non Casa Dei Piccioni,21.02431735,105.82139752,True
8,1046,"phường Dịch Vọng Hậu, quận Cầu Giấy",Trường mầm non Búp Sen Xanh,21.03793057,105.78543088,True
9,1047,"phường Cống Vị, quận Ba Đình",Trường Thực Nghiệm,21.03281213,105.81257742,True
10,1051,"xã Cự Khê, huyện Thanh Oai",Trường Liên cấp Tuệ Đức,20.931335699999998,105.79145879,True
11,1053,"phường Trung Hòa, quận Cầu Giấy",Trường Mầm non Trăng Đỏ,21.01489,105.79834,True
12,1055,"phường Trung Văn, quận Từ Liêm",Trường Olympia,20.99151816,105.7902017,True
13,1072,"phường Phú Đô, quận Nam Từ Liêm",Viện Môi trường Nông Nghiệp,21.000472681069464,105.7643129138107,True
14,1080,"phường Đông Ngạc, quận Bắc Từ Liêm",Trường Đại học Y tế Công cộng,21.08284,105.779777,True
15,1081,"phường Yên Hòa, quận Cầu Giấy",PanNature - Trung tâm Con người và Thiên nhiên,21.0181984,105.7952921,True
16,1082,"phường Minh Khai, quận Bắc Từ Liêm",Trường Đại học Công Nghiệp Hà Nội,21.053519,105.736145,True
17,1084,"phường Xuân Phương, quận Nam Từ Liêm",Trường THCS Nam Từ Liêm,21.03231702703264,105.74872450649983,True
18,1086,"phường Kim Mã, quận Ba Đình",Viện Woolcock,21.031291,105.818691,True
19,1087,"phường Cổ Nhuế 1, quận Bắc Từ Liêm",Trường Tiểu học & THCS Everest,21.050582,105.792034,True
20,1088,"xã Trâu Quỳ, huyện Gia Lâm",Học viện Nông nghiệp Việt Nam,21.000939,105.931785,True
21,1089,"phường Dịch Vọng Hậu, quận Cầu Giấy",Trường THCS & THPT Nguyễn Tất Thành,21.037454,105.784927,True
22,1090,"xã Vân Hà, huyện Đông Anh",Ủy ban Nhân dân xã Vân Hà,21.14768475,105.9158227,True
23,1091,"xã Kim Chung, huyện Đông Anh",Ủy ban Nhân dân xã Kim Chung,21.131537699410796,105.77801536857807,True
